label_id	product_id	asset_id	date	territory	number_of_downloads	number_of_streams	number_of_listeners	number_of_saves	reporting_organization_id	asset_duration	stream_device_type	stream_device_os	stream_length	stream_source	stream_source_uri	user_id	user_region	user_gender	user_birth_year	user_age_group	user_country	user_access_type	user_account_type	track_id	primary_artist_ids	isrc	upc	shuffle	repeat	cached	completion	apple_container_type	apple_container_sub_type	apple_source_of_stream
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	smart tv device	other	162	collection		8d49d06bb4193393299421caba1b63c4bcaa661ba83170abefd2d54c30b2a041	Unknown			23-27	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	smart tv device	Android	162	radio		c48f9b593b09953da78ddec8f996f29429646c58c013a479ff223964369e4f5f	FR-95	male		23-27	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	smart tv device	other	162	artist		562858a73d6f46c9dfef776d7ac870efcd590d9273a5da5eb519d783739332c8	FR-33	male		18-22	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	other	Android	162	album		8fc9ab894a014eaf1241bea238ca750f068414dbbc94941ab0809d3460e7930c	Unknown	female		28-34	FR	premium	trial	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	connected audio device	other	162	radio		6320cadc96176fffaf70f7ecbaf336c37b4470254b2a84021738d615dcd589da	FR-77	male		23-27	FR	free	ad	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	connected audio device	other	162	artist		abf2ee0f04114af48a51b2474fb670001eb575e866c9b9f2689a91e691c937d9	FR-91	male		45-59	FR	premium	trial	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	smart tv device	other	162	collection		562858a73d6f46c9dfef776d7ac870efcd590d9273a5da5eb519d783739332c8	FR-33	male		18-22	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	smart tv device	Android	162	album		71b31812123d0448cf3e2e954dac34c2f710c9734d5878abe29fc28cd3640b3c	FR-51	female		18-22	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	ZZ	0	1		0	746109	161	connected audio device	other	162	play_queue		67c935892507e3fb400a672eb063fd765491fa4809c801484be93a68f6331d75	Unknown	male		45-59	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2529726926	2786988551	2787060060	2020-09-23	ZZ	0	1		0	746109	161	connected audio device	other	94	collection		b7cf9b75ddf63aeb880b9e40509019fc3f359a35a0c1d05cc3e17280e5e3686c	Unknown	male		18-22	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	false			
2529726926	2786988551	2787060060	2020-09-23	FR	0	1		0	746109	161	other	Linux	162	artist		4853a8444d9b74e81d071a8de03164cc7557fc0427a52407ca99507582c77bd3	FR-92	female		23-27	FR	premium	paid	039neG441K6ojVfMajZXCe	[2529719021]	NLRD51962442	8720205159601	false	false	false	true			
2414467927	2628138911	2628146047	2020-09-23	FR	0	1		0	746109	165	smart tv device	other	166	collection		e2ae055e15aab2940a150041e70defa72510fd5e3b871d061bbfe67048b40cfb	FR-75	male		23-27	FR	premium	paid	09RyIKxwKioQjGUHo4KcT8	[2414452643]	NLRD51967555	8720205102942	false	false	false	true			
2414467927	2628138911	2628146047	2020-09-23	FR	0	1		0	746109	165	smart tv device	other	152	collection		e2ae055e15aab2940a150041e70defa72510fd5e3b871d061bbfe67048b40cfb	FR-75	male		23-27	FR	premium	paid	09RyIKxwKioQjGUHo4KcT8	[2414452643]	NLRD51967555	8720205102942	false	false	false	false			
2529726926	2786988551	2787054715	2020-09-23	FR	0	1		0	746109	224	other	Android	66	album		8fc9ab894a014eaf1241bea238ca750f068414dbbc94941ab0809d3460e7930c	Unknown	female		28-34	FR	premium	trial	0BKuJiAm9iD9Nqwhmzpexw	[2529719021]	NLRD51962434	8720205159601	false	false	false	false			
