label_id	product_id	asset_id	date	territory	number_of_downloads	number_of_streams	number_of_listeners	number_of_saves	reporting_organization_id	asset_duration	stream_device_type	stream_device_os	stream_length	stream_source	stream_source_uri	user_id	user_region	user_gender	user_birth_year	user_age_group	user_country	user_access_type	user_account_type	track_id	primary_artist_ids	isrc	upc	shuffle	repeat	cached	completion	apple_container_type	apple_container_sub_type	apple_source_of_stream
2817261074	2817261075	2817261557	2020-09-24	FR	0	1		0	2100357	219	mobile	iOS	43	unknown		fbb9966ea590abef903f2e910f9c68a92fa695f7		F	1997						[2817261071]	NLRD51962029	8720205150394			false				
2817261074	2817261075	2817261557	2020-09-24	FR	0	1		0	2100357	219	mobile	iOS	219	unknown		8e6fcbe5c3009ab93745f36e3c3bb65d7a2406c9		F	1994						[2817261071]	NLRD51962029	8720205150394			false				
2817261074	2817261075	2817261557	2020-09-24	FR	0	1		0	2100357	219	mobile	iOS	127	unknown		a405ed0bd09a03c039330a356f87b4cdd0a862ca		M	1994						[2817261071]	NLRD51962029	8720205150394			false				
2529726926	2786988551	2796891414	2020-09-24	FR	0	1		0	2100357	200	desktop	Web	200	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962052	8720205159601			false				
2529726926	2786988551	2796891414	2020-09-24	GB	0	1		0	2100357	200	desktop	Web	200	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962052	8720205159601			false				
3008151094	3038494177	3038494380	2020-09-24	FR	0	1		0	2100357	63	desktop	Web	63	unknown		65c5ddd948116c10fe1a93bb3426415640a5a121		M	1968						[2941419514]	NLRD51962066	8720205150769			false				
2512423456	2898651142	2898684219	2020-09-24	FR	0	1		0	2100357	193	mobile	iOS	71	unknown		36f7b159b5f18bed9885657628fe453a8f5475ab		M	1984						[2426599648]	NLRD51962372	8720205159335			false				
2529726926	2786988551	2787041728	2020-09-24	GB	0	1		0	2100357	158	desktop	Web	158	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962429	8720205159601			false				
2529726926	2786988551	2787041728	2020-09-24	FR	0	1		0	2100357	158	desktop	Web	158	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962429	8720205159601			false				
2529726926	2786988551	2787031281	2020-09-24	GB	0	1		0	2100357	182	desktop	Web	182	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962430	8720205159601			false				
2529726926	2786988551	2787031281	2020-09-24	FR	0	1		0	2100357	182	desktop	Web	182	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962430	8720205159601			false				
2529726926	2786988551	2787043874	2020-09-24	FR	0	1		0	2100357	140	desktop	Web	140	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962431	8720205159601			false				
2529726926	2786988551	2787043874	2020-09-24	GB	0	1		0	2100357	140	desktop	Web	140	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962431	8720205159601			false				
2529726926	2786988551	2787045823	2020-09-24	FR	0	1		0	2100357	138	desktop	Web	138	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962432	8720205159601			false				
2529726926	2786988551	2787045823	2020-09-24	GB	0	1		0	2100357	138	desktop	Web	138	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962432	8720205159601			false				
2529726926	2786988551	2787047393	2020-09-24	FR	0	1		0	2100357	203	desktop	Web	203	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962433	8720205159601			false				
2529726926	2786988551	2787047393	2020-09-24	GB	0	1		0	2100357	203	desktop	Web	203	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962433	8720205159601			false				
2529726926	2786988551	2787054715	2020-09-24	GB	0	1		0	2100357	224	desktop	Web	224	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962434	8720205159601			false				
2529726926	2786988551	2787054715	2020-09-24	FR	0	1		0	2100357	224	desktop	Web	224	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962434	8720205159601			false				
2529726926	2786988551	2787062744	2020-09-24	FR	0	1		0	2100357	212	desktop	Web	212	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962435	8720205159601			false				
2529726926	2786988551	2787063673	2020-09-24	FR	0	1		0	2100357	201	desktop	Web	201	unknown		a140b01c292681650e1a72cce928dcfbc6a9f73c		M							[2529719021]	NLRD51962436	8720205159601			false				
2529726926	2786988551	2787055618	2020-09-24	GB	0	1		0	2100357	194	desktop	Web	194	unknown		9db55b4702214224ada9a0a2d208e2b95ef548a2		M	1976						[2529719021]	NLRD51962437	8720205159601			false				
