label_id	product_id	asset_id	date	territory	number_of_downloads	number_of_streams	number_of_listeners	number_of_saves	reporting_organization_id	asset_duration	stream_device_type	stream_device_os	stream_length	stream_source	stream_source_uri	user_id	user_region	user_gender	user_birth_year	user_age_group	user_country	user_access_type	user_account_type	track_id	primary_artist_ids	isrc	upc	shuffle	repeat	cached	completion	apple_container_type	apple_container_sub_type	apple_source_of_stream	youtube_channel_id	video_id	youtube_claimed_status	subscribed_status	asset_type	discovery_flag
2249090289	2410293968	2410317601	2020-10-05	FR	0	8	7	0	1330598	144								female		25-34	FR	Individual Monthly	PAID	1498606628	[2410315538]	NLRD51967585	8718857999256													
2423070691	2447213212	2447221113	2020-10-05	FR	0	41	33	0	1330598	198								male		18-24	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	14	9	0	1330598	198								female		18-24	FR	Family Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	34	29	0	1330598	198								male		25-34	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	15	12	0	1330598	198								unknown		unknown	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	20	18	0	1330598	198								male		18-24	FR	Student Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	49	40	0	1330598	198								female		18-24	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	13	10	0	1330598	198								unknown		unknown	FR	Family Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	15	7	0	1330598	198								male		25-34	FR	Family Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	25	23	0	1330598	198								female		18-24	FR	Student Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	14	11	0	1330598	198								female		25-34	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	26	17	0	1330598	198								male		18-24	FR	Family Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2423070691	2447213212	2447221113	2020-10-05	FR	0	11	8	0	1330598	198								unknown		18-24	FR	Individual Monthly	PAID	1500391139	[2426599648]	NLRD51966121	8720205102201													
2529726926		2529733338	2020-10-05	FR	0	15	7	0	1330598	198								male		25-34	FR	Individual Monthly	PAID	1503466671	[2529719021]	NLRD51966186														
2529726926		2529733338	2020-10-05	FR	0	6	5	0	1330598	198								female		18-24	FR	Individual Monthly	PAID	1503466671	[2529719021]	NLRD51966186														
2489685410		2489736268	2020-10-05	FR	0	11	10	0	1330598	160								female		18-24	FR	Individual Monthly	PAID	1503467510	[2489676855]	NLRD51966170														
2489685410		2489736268	2020-10-05	FR	0	13	8	0	1330598	160								female		18-24	FR	Student Individual Monthly	PAID	1503467510	[2489676855]	NLRD51966170														
2338665258		2569832789	2020-10-05	US	0	16	8	0	1330598	213								female		18-24	US	Student Individual Monthly	PAID	1506077153	[2569816276]	NLRD51966214														
2512423456		2588914813	2020-10-05	FR	0	11	7	0	1330598	208								male		18-24	FR	Individual Monthly	PAID	1506604536	[2426599648]	NLRD51962884														
2529726926		2593128937	2020-10-05	FR	0	5	5	0	1330598	207								male		18-24	FR	Individual Monthly	PAID	1506867043	[2529719021]	NLRD51967561														
2529726926		2593150589	2020-10-05	FR	0	7	7	0	1330598	272								male		18-24	FR	Individual Monthly	PAID	1506867047	[2529719021]	NLRD51967564														
2414467927		2628141574	2020-10-05	FR	0	10	10	0	1330598	204								female		18-24	FR	Individual Monthly	PAID	1508558824	[2414452643]	NLRD51967581														
2414467927		2628141574	2020-10-05	FR	0	7	7	0	1330598	204								male		25-34	FR	Individual Monthly	PAID	1508558824	[2414452643]	NLRD51967581														
2414467927		2628141574	2020-10-05	FR	0	12	9	0	1330598	204								female		18-24	FR	Student Individual Monthly	PAID	1508558824	[2414452643]	NLRD51967581														
2414467927		2628141574	2020-10-05	FR	0	8	7	0	1330598	204								male		18-24	FR	Individual Monthly	PAID	1508558824	[2414452643]	NLRD51967581														
2414467927		2628145599	2020-10-05	FR	0	5	5	0	1330598	230								female		18-24	FR	Student Individual Monthly	PAID	1508559126	[2414452643]	NLRD51967584														
2414467927		2628146258	2020-10-05	FR	0	11	9	0	1330598	208								female		18-24	FR	Student Individual Monthly	PAID	1508559138	[2414452643]	NLRD51967553														
2414467927		2628146879	2020-10-05	FR	0	5	5	0	1330598	210								male		25-34	FR	Individual Monthly	PAID	1508559144	[2414452643]	NLRD51962999														
2414467927		2628146879	2020-10-05	FR	0	7	5	0	1330598	210								female		18-24	FR	Student Individual Monthly	PAID	1508559144	[2414452643]	NLRD51962999														
2414467927		2628146879	2020-10-05	FR	0	5	5	0	1330598	210								female		18-24	FR	Individual Monthly	PAID	1508559144	[2414452643]	NLRD51962999														
2512423456		2654202634	2020-10-05	FR	0	5	5	0	1330598	193								female		18-24	FR	Individual Monthly	PAID	1510518082	[2426599648]	NLRD51962980														
2512423456		2654202634	2020-10-05	FR	0	19	11	0	1330598	193								male		18-24	FR	Individual Monthly	PAID	1510518082	[2426599648]	NLRD51962980														
2512423456		2654202634	2020-10-05	FR	0	6	6	0	1330598	193								female		18-24	FR	Student Individual Monthly	PAID	1510518082	[2426599648]	NLRD51962980														
2512423456		2654202634	2020-10-05	FR	0	7	6	0	1330598	193								unknown		unknown	FR	Individual Monthly	PAID	1510518082	[2426599648]	NLRD51962980														
2512423456		2578106190	2020-10-05	FR	0	5	5	0	1330598	211								male		18-24	FR	Individual Monthly	PAID	1510533113	[2426599648]	NLRD51962021														
2512423456		2578106190	2020-10-05	FR	0	5	5	0	1330598	211								female		18-24	FR	Individual Monthly	PAID	1510533113	[2426599648]	NLRD51962021														
2512423456		2696232281	2020-10-05	FR	0	7	7	0	1330598	199								male		18-24	FR	Individual Monthly	PAID	1512929347	[2696216074]	NLRD51962976														
2529726926		2787031281	2020-10-05	FR	0	6	5	0	1330598	182								male		25-34	FR	Family Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	24	19	0	1330598	182								male		18-24	FR	Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	7	6	0	1330598	182								male		18-24	FR	Student Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	15	5	0	1330598	182								male		18-24	FR	Family Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	13	11	0	1330598	182								female		25-34	FR	Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	28	23	0	1330598	182								male		25-34	FR	Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	7	7	0	1330598	182								female		18-24	FR	Student Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	13	8	0	1330598	182								unknown		unknown	FR	Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787031281	2020-10-05	FR	0	16	15	0	1330598	182								female		18-24	FR	Individual Monthly	PAID	1518613267	[2529719021]	NLRD51962430														
2529726926		2787041728	2020-10-05	FR	0	11	6	0	1330598	158								male		18-24	FR	Family Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	19	13	0	1330598	158								male		18-24	FR	Student Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	33	11	0	1330598	158								unknown		unknown	FR	Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	24	20	0	1330598	158								male		18-24	FR	Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	16	15	0	1330598	158								female		18-24	FR	Student Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	11	9	0	1330598	158								female		25-34	FR	Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	20	19	0	1330598	158								female		18-24	FR	Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	24	21	0	1330598	158								male		25-34	FR	Individual Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787041728	2020-10-05	FR	0	10	8	0	1330598	158								male		25-34	FR	Family Monthly	PAID	1518613268	[2529719021]	NLRD51962429														
2529726926		2787043874	2020-10-05	FR	0	5	5	0	1330598	140								unknown		18-24	FR	Individual Monthly	PAID	1518613269	[2529719021]	NLRD51962431														
2529726926		2787043874	2020-10-05	FR	0	11	10	0	1330598	140								female		25-34	FR	Individual Monthly	PAID	1518613269	[2529719021]	NLRD51962431														
2529726926		2787043874	2020-10-05	FR	0	14	11	0	1330598	140								unknown		unknown	FR	Individual Monthly	PAID	1518613269	[2529719021]	NLRD51962431														
2529726926		2787043874	2020-10-05	FR	0	21	21	0	1330598	140								male		25-34	FR	Individual Monthly	PAID	1518613269	[2529719021]	NLRD51962431														
